,Id,Name,Determined Formula,Determined Charge,Previous Formula,Previous Charge,Inferrence Type,Reasoning,Used Databases,Previous Databases,Similarity
0,M_12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
1,M_12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
2,M_1ag160_e,1 Acyl sn glycerol  hexadecanoate,C19H38O4,0,C19H38O4,0,Inferred,unconstrained Target & Adherence,,,Same
3,M_1ag180_e,1 Acyl sn glycerol  octadecanoate,C21H42O4,0,C21H42O4,0,Inferred,unconstrained Target & Adherence,,,Same
4,M_1ag181d9_e,1 Acyl sn glycerol  nC181d9,C21H40O4,0,C21H40O4,0,Inferred,unconstrained Target & Adherence,,,Same
5,M_1ag182d9d12_e,1 Acyl sn glycerol  nC182d9d12,C21H38O4,0,C21H38O4,0,Inferred,unconstrained Target & Adherence,,,Same
6,M_25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,C9H14N5O8P,-2,C9H14N5O8P,-2,Inferred,unconstrained Target & Adherence,,,Same
7,M_25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H14N5O8P,-2,C9H14N5O8P,-2,Inferred,unconstrained Target & Adherence,,,Same
8,M_2agpe161_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,0,C21H42NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
9,M_2agpe161_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,0,C21H42NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
10,M_2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2,C7H9N5O2,0,C7H9N5O2,0,Inferred,unconstrained Target & Adherence,,,Same
