,Id,Unbalanced Reaction,Unbalanced Type,Reason,Shared Metabolites,Mass Difference,Charge Difference
0,R_CMCBTFL,"Reaction(id='R_CMCBTFL', name='CMCBTFL', metabolites={Metabolite(id='M_fcmcbtt_c', name='Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)', formula=C33H44N5O12, charge=-1, SBO=247): 1.0, Metabolite(id='M_cmcbtt_c', name='Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)', formula=C33H46N5O12, charge=-1, SBO=247): -1.0, Metabolite(id='M_fe3_e', name='Iron (Fe3+)', formula=Fe, charge=3, SBO=247): -1.0}, SBO=185)","Mass, Charge",R_CMCBTFL,"M_fe3_e, M_cmcbtt_c, M_fcmcbtt_c","Fe: -1.0, H: -2.0",-3.0
1,R_CMCBTFU,"Reaction(id='R_CMCBTFU', name='CMCBTFU', metabolites={Metabolite(id='M_cmcbtt_c', name='Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)', formula=C33H46N5O12, charge=-1, SBO=247): 1.0, Metabolite(id='M_fe3_c', name='Iron (Fe3+)', formula=Fe, charge=3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_fcmcbtt_c', name='Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)', formula=C33H44N5O12, charge=-1, SBO=247): -1.0}, SBO=176)","Mass, Charge",R_CMCBTFU,"M_fe3_c, M_cmcbtt_c, M_fcmcbtt_c, M_h_c","H: 3.0, Fe: 1.0",4.0
2,R_CYO1_KT,"Reaction(id='R_CYO1_KT', name='Ubiquinol   cytochrome c reductase', metabolites={Metabolite(id='M_focytc_c', name='Ferrocytochrome c C42H53FeN8O6S2', formula=C33FeH32N4O4, charge=2, SBO=247): 2.0, Metabolite(id='M_h_p', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_q8_c', name='Ubiquinone-8', formula=C49H74O4, charge=0, SBO=247): 1.0, Metabolite(id='M_ficytc_c', name='Ferricytochrome c C42H52FeN8O6S2', formula=C34FeH32N4O42, charge=-1, SBO=247): -2.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0, Metabolite(id='M_q8h2_c', name='Ubiquinol-8', formula=C49H76O4, charge=0, SBO=247): -1.0}, SBO=185)","Mass, Charge",R_CYO1_KT,"M_q8h2_c, M_q8_c, M_h_c, M_ficytc_c, M_h_p, M_focytc_c","C: -2.0, H: -2.0, O: -76.0",6.0
3,R_CYO1b,"Reaction(id='R_CYO1b', name='CYO1b', metabolites={Metabolite(id='M_ficytc_c', name='Ferricytochrome c C42H52FeN8O6S2', formula=C34FeH32N4O42, charge=-1, SBO=247): 2.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_focytc_c', name='Ferrocytochrome c C42H53FeN8O6S2', formula=C33FeH32N4O4, charge=2, SBO=247): -2.0, Metabolite(id='M_o2_c', name='O2 O2', formula=O2, charge=0, SBO=247): -0.5}, SBO=176)","Mass, Charge",R_CYO1b,"M_ficytc_c, M_h2o_c, M_focytc_c, M_o2_c","C: 2.0, H: 2.0, O: 76.0",-6.0
4,R_FCLT2,"Reaction(id='R_FCLT2', name='FCLT2', metabolites={Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_mcbtt_c', name='Mycobactin T', formula=C47H77N5O10, charge=0, SBO=247): 1.0, Metabolite(id='M_pheme_c', name='Protoheme C34H30FeN4O4', formula=C34FeH30N4O4, charge=-2, SBO=247): 1.0, Metabolite(id='M_fmcbtt_c', name='Iron(II) mycobactin T', formula=C43FeH71N5O10, charge=4, SBO=247): -1.0, Metabolite(id='M_ppp9_c', name='Protoporphyrin', formula=C34H32N4O4, charge=-2, SBO=247): -1.0}, SBO=176)","Mass, Charge",R_FCLT2,"M_pheme_c, M_h_c, M_ppp9_c, M_mcbtt_c, M_fmcbtt_c","H: 6.0, C: 4.0",-2.0
5,R_FE3DCITabc,"Reaction(id='R_FE3DCITabc', name='Iron transport from ferric-dicitrate via ABC system', metabolites={Metabolite(id='M_adp_c', name='ADP C10H12N5O10P2', formula=C10H13N5O10P2, charge=-2, SBO=247): 1.0, Metabolite(id='M_cit_c', name='Citrate', formula=C6H5O7, charge=-3, SBO=247): 2.0, Metabolite(id='M_fe3_c', name='Iron (Fe3+)', formula=Fe, charge=3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_atp_c', name='ATP C10H12N5O13P3', formula=C10H12N5O13P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_fe3dcit_e', name='Fe(III)dicitrate', formula=C12FeH22O14, charge=0, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): -1.0}, SBO=185)","Mass, Charge",R_FE3DCITabc,"M_adp_c, M_fe3_c, M_fe3dcit_e, M_pi_c, M_h2o_c, M_cit_c, M_atp_c, M_h_c",H: -11.0,-2.0
6,R_FETRANS,"Reaction(id='R_FETRANS', name='FETRANS', metabolites={Metabolite(id='M_fe2_c', name='Fe2+ mitochondria', formula=Fe, charge=2, SBO=247): 1.0, Metabolite(id='M_mcbtt_c', name='Mycobactin T', formula=C47H77N5O10, charge=0, SBO=247): 1.0, Metabolite(id='M_fmcbtt_c', name='Iron(II) mycobactin T', formula=C43FeH71N5O10, charge=4, SBO=247): -1.0}, SBO=176)","Mass, Charge",R_FETRANS,"M_mcbtt_c, M_fmcbtt_c, M_fe2_c","C: 4.0, H: 6.0",-2.0
7,R_NMO,"Reaction(id='R_NMO', name='Nitronate Monooxygenase', metabolites={Metabolite(id='M_acald_c', name='Acetaldehyde', formula=C2H4O, charge=0, SBO=247): 1.0, Metabolite(id='M_fmn_c', name='FMN C17H19N4O9P', formula=C17H21N4O9P, charge=0, SBO=247): 1.0, Metabolite(id='M_no2_c', name='Nitrite', formula=NO2, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 6.0, Metabolite(id='M_etha_c', name='Ethanolamine', formula=C2H8NO, charge=1, SBO=247): -1.0, Metabolite(id='M_fmnh2_c', name='Reduced FMN', formula=C17H21N4O9P, charge=-2, SBO=247): -1.0, Metabolite(id='M_o2_c', name='O2 O2', formula=O2, charge=0, SBO=247): -1.0}, SBO=176)","Mass, Charge",R_NMO,"M_acald_c, M_fmnh2_c, M_h_c, M_fmn_c, M_etha_c, M_no2_c, M_o2_c",H: 2.0,6.0
8,R_CREAT,"Reaction(id='R_CREAT', name='Creatinase', metabolites={Metabolite(id='M_sarcs_c', name='Sarcosine C3H7NO2', formula=C3H7NO2, charge=0, SBO=247): 1.0, Metabolite(id='M_urea_c', name='Urea CH4N2O', formula=CH4N2O, charge=0, SBO=247): 1.0, Metabolite(id='M_creat_c', name='Creatine cytosol', formula=C4H7N3O, charge=0, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): -1.0}, SBO=176)",Mass,R_CREAT,"M_h2o_c, M_creat_c, M_sarcs_c, M_urea_c","H: 2.0, O: 1.0",0.0
9,R_MCBTS3,"Reaction(id='R_MCBTS3', name='MCBTS3', metabolites={Metabolite(id='M_adp_c', name='ADP C10H12N5O10P2', formula=C10H13N5O10P2, charge=-2, SBO=247): 1.0, Metabolite(id='M_cmcbtt_c', name='Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)', formula=C33H46N5O12, charge=-1, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2 CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_coa_c', name='Coenzyme A', formula=C21H32N7O16P3S, charge=-4, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): 5.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 3.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): 2.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_atp_c', name='ATP C10H12N5O13P3', formula=C10H12N5O13P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_bhb_c', name='(R)-3-Hydroxybutanoate', formula=C4H7O3, charge=-1, SBO=247): -1.0, Metabolite(id='M_lys__L_c', name='L-Lysine', formula=C6H15N2O2, charge=1, SBO=247): -2.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): -2.0, Metabolite(id='M_o2_c', name='O2 O2', formula=O2, charge=0, SBO=247): -3.5, Metabolite(id='M_occoa_c', name='Octanoyl-CoA (n-C8:0CoA)', formula=C29H46N7O17P3S, charge=-4, SBO=247): -1.0, Metabolite(id='M_salc_c', name='Salicylate', formula=C7H5O3, charge=-1, SBO=247): -1.0, Metabolite(id='M_ser__L_c', name='L-Serine', formula=C3H7NO3, charge=0, SBO=247): -1.0}, SBO=176)",Mass,R_MCBTS3,"M_salc_c, M_pi_c, M_nadph_c, M_co2_c, M_atp_c, M_lys__L_c, M_o2_c, M_adp_c, M_ser__L_c, M_h2o_c, M_cmcbtt_c, M_coa_c, M_occoa_c, M_bhb_c, M_nadp_c, M_h_c",O: -1.0,0.0
